标题,帖子数,日期,情感
上海莱士己在东方财富点名估值泡沫巨大，咋个收,4561,2017-07-14,0.8012556552488741
空狗绝对是有一个利益团队驱使在做事情，不仅仅,7487,2017-08-31,0.9569819059491824
无耻的同方股吧，,3484,2017-08-22,0.01769329867156666
收购莱士的价格应该在净资产的2倍左右，越高同,10523,2017-08-13,0.9436345953612753
肺腑之言，16年同方公司高管杜国楨清仓减持7893,8637,2017-08-25,0.12744417233834737
庄托们清华同方这样好！清华同方14年违反三公开,6739,2017-09-01,0.6684532860536678
清华同方这样好！清华同方14年违反三公开原则，,4212,2017-09-01,0.9048052738780686
利益集团和庄托们如此惧怕同方持股股民看中国牛,4765,2017-08-28,0.27316688399976685
即使有再多理由看好同方股票，18年2月之前也绝,7340,2017-08-27,0.035655962013486975
即使有再多理由看好清华同方，18年2月之前也绝,7413,2017-08-27,0.03565596201348731
为中国牛人大加油！利益集团和庄托骗子如此惧怕,5966,2017-08-28,0.41256670111293037
空头，劳资跟你说一件事，你们就可以休息了,29487,2017-09-01,0.1859498440875773
增发价18元是莱士期待的价位,64135,2017-08-22,0.9218332447798079
同方重组成功是特大利好，重组成功的时间快要到,60168,2017-08-13,0.5926383531829744
所有的股民们，空方它们感觉道了，同方是非常非,15996,2017-08-09,0.5978324327758717
同方或莱士重组成功标的方案,前提是要双赢。同,19533,2017-08-23,0.3016874490622228
这吧里咋真乱，唱多唱空都是有自己利益的。不过,14747,2017-08-18,0.991373620045882
再谈同方,6344,2017-09-03,0.5870372393348398
即使有100个理由看好同方，18年2月之前绝不是买,10698,2017-08-25,0.01152648507391485
同方使用89~109亿收购上海莱士29.9%股份获得批,8025,2017-08-26,0.9363507244593221
同方还有另外的重组选择，并不一定要收购莱士！,14380,2017-08-03,0.8376929897571157
融券客的目的就是要把同方或莱士的重组绞黃。重,10818,2017-08-23,0.10027970485736193
这些人看到的是莱士收购的合理性，但对明眼人来,9823,2017-08-11,0.8395018975520993
叫嚣重组失败股价下跌的不是同方股东！利益跟大,10226,2017-08-02,0.813208787177411
同方总共融券的只有685手，再说什么融券的屁话,5939,2017-08-26,0.7273557718264103
当前谁最心慌? 庄托骗子们我来告诉你！,28148,2017-02-27,0.05004342612481094
拥有资源无与伦比资本市场绝对第一！同方股份公,21321,2017-06-17,0.9990052157795094
一个国家，一个民族，实干才能兴邦，空谈肯定误,9766,2017-08-14,0.38755015925300307
中国牛人大赞美同方是爱他，批评同方更是爱他呀,4859,2017-08-30,0.9227566584414987
欢迎中央巡视组进驻清华，进驻清控，进驻同方！,51632,2016-09-04,0.02427761916725857
热烈欢迎中央巡视组尽早进驻同方！良药苦口！ ,37235,2016-10-23,0.019571326862056537
今天晚上出公告和业绩大幅预增真不要脸,131958,2016-07-26,0.05249658771153354
拒绝同方三拍高管用钻石价格买黄金，卖白银价格,10782,2017-07-06,0.07288165710884031
清华同方胸无大志三拍高管被定向增发蝇头小利蒙,8610,2017-07-12,0.712212807913571
热烈欢迎巡视组尽早进驻清华同方！查找腐败！,54963,2016-09-04,0.8696656040463662
同方同方，路在何方，路在前方。 同方同方，背,10764,2017-06-19,0.3900428668943642
拥有资源无与伦比资本市场绝对第一！清华同方股,28927,2017-06-17,0.9988951738648084
清控和同方在资本市场给国家民族子孙后代留下了,13762,2017-06-30,0.9983220672388594
一个老股民对清华同方股份公司治理的建议（转发,47096,2016-10-24,0.6418026543648991
热烈欢迎中央巡视组尽早进驻同方！查找腐败！,30377,2016-10-22,0.36442084003922004
热烈欢迎中央巡视组尽早进驻同方！忠言逆耳！ ,62360,2016-10-22,0.024322707534782273
还干啥事业！清控买卖自家股票！几年轮回一次！,16180,2016-10-12,0.9515534230164644
同方股份将采取重大举措,15765,2017-08-29,0.3866609766135085
各位持有同方的股友:同方重组已基本确定，离复,21127,2017-09-01,0.0382609936032674
即使有1万个理由看好同方，18年2月之前绝不是买,9575,2017-08-25,0.004062310778242262
为什么？为什么非要高价收购？,8187,2017-08-31,0.41318172400590947
哈哈哈 删贴啦 狂笑 瞎子狂笑 连续4年业绩翻倍,12867,2017-07-09,0.9425567569464517
一大帮莱士股东在教育我们接受高价收购莱士的合,15097,2017-08-19,0.4763664122377165
恳请中纪委入住清华同方彻查同方重组上海莱士一,10623,2017-08-27,0.08058637139971514
清华同方亏损分公司高层领导必须全部更换！用人,94014,2016-12-11,0.200749505427398
狗日的清华校企，扶不起的阿斗！,52469,2017-01-18,0.8977859045060631
即使有1000个理由看好同方，18年2月之前绝不是,8134,2017-08-25,0.01699196777384837
小小子就是一个被雇佣的写手,从过去几个重组股,4687,2017-08-27,0.9217628627230209
0.98元业绩次新股股价不到10块仅此1家江苏银行,26725,2017-04-27,0.04997406222880718
空调我们选择格力，手机我们选择华为，新能源汽,6052,2017-07-09,0.06316954514591344
利益集团和庄托骗子越惊慌失措！越语无伦次！越,3721,2017-08-27,0.029647869436560725
利益集团和庄托越惊慌失措！越语无伦次！越疯狂,4779,2017-08-27,0.23799476259713026
利用职务之便的一咄接盘闹剧！,15793,2017-07-18,0.9886615914893085
转： 请同方管理层领导黄俞注意 您身为鹏华基金,15687,2017-08-14,0.09309216042048896
黄俞管理的华控赛格已经八次变更上市公司名称！,9881,2017-08-05,0.6808829225411843
