标题,帖子数,日期,情感
上海电气周五没涨。因何没涨？因为大帝没来！朕,5519,2017-09-02,0.21628258550109747
上海电气(601727)融资融券信息(09-01),3419,2017-09-02,0.7572514975615157
上涨是为了更好的崩盘,21104,2017-07-26,0.36606148221945356
601727:上海电气董事会四届五十一次会议决议公,44083,2017-09-01,0.259818786108748
上海电气宣布站上风口，放量突破过顶，一目了然,25173,2017-08-31,0.9011244328373144
上海电气拟在12月31日前减持华电国际等若干上市,50408,2017-08-30,0.16219097752709155
上海电气8月31日盘中涨幅达5%,18712,2017-08-31,0.042930714436712814
上海电气中期纯利升9.6%至13.64亿元 在手订单24,35399,2017-08-30,0.33628272351781074
[失望]MSCI Inc.来了，漂亮50必将是永远中流砥,9385,2017-06-22,0.8587899598644096
中报速递：上海电气2017年上半年盈利13.59亿元,23695,2017-08-30,0.23797871673079019
上海电气拟在年末前出售华电国际等若干A股上市,21017,2017-08-30,0.170526754069381
上海电气完成收购电气总公司置入股权类资产,22976,2017-08-29,0.987893313002968
散户必看炒股格言和现金策略！,25224,2017-06-23,0.3017520261998339
看好上海电气,19156,2017-08-01,0.6237465271092794
上海电气(601727)融资融券信息(08-25),6289,2017-08-26,0.7572514975615157
也是一个奇葩,15389,2017-07-05,0.47851642166692154
东旭光电后期能继续看好不？是否出？ ,13298,2017-07-21,0.8971632717390391
为了2.3亿主力亦是够拼的了，宁愿丢掉千万股级,17624,2017-08-16,0.7327493638819456
上海电气（集团）总公司是中国机械工业销售排名,13066,2017-08-25,0.010781638456063503
上海电气(601727)融资融券信息(08-24),4850,2017-08-25,0.7572514975615157
散户必看炒股格言和现金策略！ 孙子云：先立于,50264,2017-05-10,0.08329665475196413
你儿子上海机电有好处不！,6088,2016-12-23,0.3724960692256476
上海电气(601727)融资融券信息(08-18),8151,2017-08-19,0.7572514975615157
揭穿价值投资的鬼话，如果真要价值投资，招商银,34080,2017-07-03,0.9997151511106501
来来来来……看看看看…… ^0^^0^ 辛辛苦苦炒一,37565,2016-02-02,0.2809563860777746
复牌跌停，是的，跌停！,21207,2016-10-27,0.0277239771548784
上海电气(601727)融资融券信息(08-11),8169,2017-08-12,0.7572514975615157
上海电气总公司拟转让海立股份控股权 沪国企改,59350,2017-08-08,0.3083177277369531
雄关漫道真如铁而今迈步从头越,7874,2017-07-06,0.8452008416449116
上海电气(601727)融资融券信息(12-23),9175,2016-12-24,0.7572514975615157
上海电气迟延寄发载有配售A股事项的通函,38783,2016-12-05,0.01053093811584227
601727:上海电气董事会四届四十九次会议决议公,61170,2017-07-24,0.259818786108748
关于特斯拉中国建厂选址及潜在合作者选择的分析,18682,2017-07-06,0.9848653969928147
可能一个涨停也没有，一切如常,15466,2016-09-01,0.856870329270057
上海电气(601727)融资融券信息(08-04),5929,2017-08-05,0.7572514975615157
我走了,5340,2017-08-03,0.5826296743063932
小打小闹，跟着慢慢玩[微笑]。随时发图,13290,2017-07-27,0.9854362993967488
有和我一样坚定持有上海电气的朋友，给我留言,12451,2017-07-18,0.3688349825911752
601727:上海电气关于发行股份购买资产并募集配,47679,2017-07-31,0.8192722772320016
上海电气拟发行8.78亿股A股购买资产募集配套资,42552,2017-07-31,0.3160433719231944
牛逼的上海电气，成功的躲过了一波大涨。,4436,2017-07-03,0.7990575455352859
弯腰捡钱 咯咯咯，业绩去年翻倍股0.99，今再翻,24022,2017-05-02,0.8294053280948175
上海电气出资14亿人民币夥多方组电气联合金融租,39373,2017-07-24,0.8369030342097636
上海电气，最纯正特斯拉概念股,15351,2017-07-05,0.6977951105969928
[图片],26038,2017-06-22,0.5826086956521737
[不说了][微笑][微笑],13610,2017-07-06,0.6919746952123936
坚守上海电气,8621,2017-07-07,0.8443965103298431
有消息？,5576,2017-07-21,0.3200000000000003
