标题,帖子数,日期,情感
38.5清仓,16857,2017-09-01,0.4737672181921908
2017半年报点评：行业龙头地位稳固，盈利能力稳,34022,2017-09-01,0.9155115902941888
格力电器：上半年净利增48% 证金新晋前十大股东,125548,2017-08-30,0.8813043984897793
格力电器半年报增长近五成,32196,2017-08-31,0.9538738286487825
格力电器:2017年半年度报告,97111,2017-08-30,0.7418020226067222
公司收益质量良好 多年持续高分红,52018,2017-08-31,0.8674732060591203
9月1日深股通,32188,2017-09-01,0.030293698276076975
Q2有惊喜，Q3亦可期,54595,2017-08-31,0.9664153162961749
格力电器:2017年半年度报告摘要,140004,2017-08-30,0.8858405153066835
半年报：美的净利润或破200亿，格力被甩第一阵,15120,2017-09-01,0.784407808304067
如何查找基金重仓股数据,17948,2017-08-31,0.2660952280292036
格力，让数据说话，外资持股比例变化记录帖。外,17215,2017-08-31,0.1029534485136625
下半年空调销量有望保持增长：2017H1营收增速40,40571,2017-09-01,0.09312252754297934
39.3能回本不下周,5598,2017-09-01,0.2994511875706315
格力单纯电器业务以及智能装备就90多亿的净利润,30971,2017-08-30,0.8567855639297002
得有多大的仇恨啊，继续打压，继续买入 38.4买,19515,2017-08-31,0.9371675613164094
31日晚格力半年报如期公布，直观的重要数据如下,47908,2017-08-31,0.46933072810851706
坚如磐石,55871,2017-09-01,0.2784174005786142
实战炒股口决： 十四工作线，来回做波段；突破,71146,2017-03-22,0.986755970349184
中国崛起，大盘底部，永远是好股票买入机会：）,131812,2017-05-24,0.9978345109256873
格力电器与美的集团港股通前列12大股东持股对比,14583,2017-08-28,0.08921965299502832
有些人30左右卖了，就一直唱空等着跌下来好买回,7430,2017-09-01,0.25361837494710227
几乎是最好的企业，中报靓丽，公布后走的像极了,15104,2017-08-31,0.9187737903875373
20170831格力电器股价四问与对答,35137,2017-08-31,0.7621197771196411
[季k]高位,十字星 意为着涨不动了,,9596,2017-08-27,0.9563024306917736
2017H1净利同比增长48%，好于预期,26332,2017-09-01,0.8931931108286516
~~支持董明珠的银隆新能源汽车,12335,2017-07-08,0.03977334193102622
中国家电第一阵营发生裂变 ，从三巨头向2+1过渡,8673,2017-09-01,0.7804263053786141
南下资金最爱建行 北上资金最爱格力,132078,2017-01-04,0.9990374531308098
2Q17 beat but GPM pressure in 2H17; Buy give,32776,2017-09-01,0.3474730362549653
任何好股票坏股票都有自己美好时和暗淡时!,18197,2017-08-30,0.9144738384712171
美的，格力诉讼如火如涂，如有一方败诉股价就可,29934,2017-08-28,0.7995916048546684
明天会封10亿股买单，27个涨停。,31150,2016-09-01,0.009894571471998792
揭穿价值投资的鬼话，如果真要价值投资，招商银,91249,2017-06-28,0.9997151511106501
39.9就买入2万股，真爽，谢谢机构。,29990,2017-08-28,0.8276496381854366
董明珠五年分红300亿这就是结果 所以那一年我的,22366,2017-08-19,0.5938797237174817
格力电器高点已过，开始下跌周期，不参与右侧交,20822,2017-08-10,0.06800604001890498
凡出言信为先诈与妄奚可焉二室一厅的员工住房,22247,2017-03-07,0.012350771443028763
家电行业竞争非常激烈，格力电器也只有在董明珠,67161,2017-07-12,0.8021774124664774
实战炒股口决！,17827,2017-08-05,0.553404283579714
如果你做格力股票现在还赔钱，是因为你基因的问,27877,2017-08-21,0.6619398910301602
格力两市价值投资第一股,189048,2017-04-27,0.46058860300528937
业绩再超预期，空调巨擘闪耀,69096,2017-08-31,0.7633160500997477
888：格力电器利润再创新高！估值大幅提升！投,590572,2017-05-29,0.14400829583200547
酸菜妹：从三一重工到格力电器 还有谁在受伤(就,12394,2017-08-31,0.9740952370467441
~~支持董明珠的银隆新能源汽车借壳002201,15017,2017-07-18,0.011067207787763489
怎么还不公布 我饭都吃不下去了！,15715,2017-08-30,0.09823000949491001
轻轻的我走了，正如我轻轻的来（大学的照片）,14105,2017-08-30,0.8483036368923083
2017A股价值投资的元年，拿好格力电器股票，别,68053,2017-02-11,0.9653945126786089
格力的韭菜们，给你们说说托和永远赔钱的人的套,14535,2017-08-31,0.4747925403583261
8月31日深股通,16136,2017-08-31,0.12240755480924737
<老张> 个股买卖跟踪 2017-08-30,848,2017-08-30,0.029517685788771786
综合今日盘面信息和有关交易信息，凡夫俗子相信,33602,2017-08-28,0.8482345639768243
格力电器港股通港资持股透视——看图说话,27303,2017-08-26,0.6208589224250988
为什么不让我说，这个股票将套人无数。 漂亮50,16205,2017-06-10,0.7960594001331572
格力半年报的净利润铁定低于美的！请各位要面对,18878,2017-08-30,0.41525883631747396
15年股市暴跌后，拿着格力一直没动到现在的情况,34513,2017-07-05,0.575599868658144
是董明珠改变了格力，让格力走向世界！,19644,2017-08-14,0.9989062347910685
格力和天猫的100亿元合作，背后是电商平台的战,17369,2017-08-30,0.5459816655888913
酸菜妹：港股涨幅远远大于A股，2011年至今6年舜,3621,2017-08-28,0.48495707159457624
董明珠马云达成百亿元合作 格力或在天猫卖手机,54195,2017-08-30,0.3384364667660805
建议清仓，避免新宝电器一样的悲剧,5938,2017-08-29,0.8991217746640546
含泪割肉！格力电器我卖掉了，不想再被主力喝血,22779,2017-08-26,0.26273730985649857
外资持股比例变化帖,45715,2017-08-11,0.07366494067825358
我为什么看空格力，给个大家一个技术分析吧。,19521,2017-08-15,0.8491736153825576
专家警示,11830,2017-08-27,0.8930279195159163
今天站在新的历史高度，开启新的历程,49639,2017-05-26,0.9970933182696453
8月30日深股通,14636,2017-08-30,0.07096775141391065
与其买格力不如买美的，分分钟碾压格力,17466,2017-08-25,0.7840983692428175
黑货的穷鬼思维,13982,2017-08-10,0.8575947895548124
20170818格力惊现地量，酝酿下周变盘玄机！,27138,2017-08-18,0.32057852305314194
证金：15年股灾的产物！美其名曰是救灾的！当时,10155,2017-08-22,0.24496708411850243
分红对短线客来说如果不尽快填权，是利空！长期,14505,2017-07-03,0.12203310071884477
我觉得格力净利润增加要比美的好的 美的中报摘,18974,2017-08-30,0.9178986773080542
只为持有,12138,2017-08-29,0.19713298318520223
核心内参: 地产称霸南京，医美雄冠亚洲,6213,2017-08-12,0.9315669100106516
格力电器：中报公布之后股价或超美的集团。,19722,2017-08-28,0.7125150736552692
实战炒股口决： 十四工作线，来回做波段；突破,60155,2017-04-16,0.986755970349184
香港上海汇丰银行有限公司持股格力电器分析,15248,2017-08-29,0.822355525617834
格力电器直到现在还在加班加点赶货，高成长已惯,15457,2017-08-29,0.9816046293527171
格力电器08-29今天港股通及主力净流出数据分析,15205,2017-08-29,0.9780881520697949
今天买回了格力,14867,2017-08-29,0.5284302937637257
靓票：格力电器 西水股份 华资实业 佳讯飞鸿 中,16646,2017-06-14,0.9897471001016427
说格力低价增发的水军，美粉可以闭嘴了,13695,2017-05-14,0.18254232465612985
8月29日深股通,17967,2017-08-29,0.05468576835783723
7月格力内销增长50％，这个数据基本可信，但美,21488,2017-08-25,0.9172964741326983
格力电器今日08-28港股通及主力净流出数据分析,14574,2017-08-28,0.9892139776280923
格力电器:2016年半年度报告,55210,2016-08-18,0.7418020226067222
关于对珠海格力电器股份有限公司董事徐自发给予,127559,2017-08-17,0.9113364300891583
8月28日深股通,13554,2017-08-28,0.0689040148178316
格力实力展现精工“智”造，人工智能设备亮相第,12380,2017-08-28,0.9914572101091754
坚守四年多了任凭你们怎么说,6054,2017-08-28,0.8620186835871592
38元左右买入4万股 上次39元买2万股，合计6万股,36971,2017-08-03,0.01958581990471575
格力，美的走势强劲。中报可期，可能有重上40的,26418,2017-08-23,0.7505441053359186
[赚大了]女士们先生们朋友们！战胜内心的恐惧，,8049,2017-07-23,0.9903348681396497
调补库存周期或超预期,107769,2017-05-22,0.34173418044823956
39元买入格力 3万股,34424,2017-07-27,0.18347489191444544
看你们这么乐观，我就放心了，今天收绿。,11267,2017-08-25,0.9280520556365226
格力电器是极好的价值投资标的物（825）,15033,2017-08-25,0.9486819656119886
中国股市（部分指数和个股）必创历史新高（828,6319,2017-08-28,0.998057584300876
明天格力电器就一个字: 买，涨跌都是买，17年就,12933,2017-08-27,0.42105736986158193
左手格力右手银隆 董明珠牵线的200亿元关联交易,81179,2017-08-24,0.04888528965292027
25日深港通买格力5亿元揭秘,27529,2017-08-26,0.19843218728205825
格力电器我坚信40元以下运行不会超过5个交易日,18122,2017-08-10,0.5629306994409463
董明珠“豪赌”新能源：强势扩张珠海银隆 8个月,119101,2017-08-20,0.4630637282370018
如何看待今天格力电器涨幅不及大盘？,24752,2017-08-25,0.8701022317614826
雷军：让全世界低保户都能用得起小米智能空调！,15522,2017-08-10,0.5545924335702784
黄国东：A股下半年预测  推荐格力电器,54892,2017-07-02,0.9244383174813005
8月25日深股通,17104,2017-08-25,0.0774429840813593
行了，今天收盘39.65左右[大笑][大笑][大笑]每,15189,2017-08-25,0.915483134992684
格力正处于上升通道中,44128,2017-03-22,0.8547834388771096
今日深港通净买入5.16亿,12737,2017-08-25,0.9668500846174565
进场: 怎么跌的就会怎么涨上去（荐股）,9009,2017-08-06,0.7541933135049772
珠海官方对格力电器做出重要人事布局，董明珠“,30636,2017-08-20,0.38147910903191484
强大的石墨烯电池需要强大的主力,10741,2017-08-03,0.8921846291323551
好的企业都不需要书记,6560,2017-08-24,0.5495177027743375
只预测结果，今天收绿，立贴为证。,19893,2017-08-23,0.6032342203963519
8月24日深股通,19671,2017-08-24,0.07697465480371102
有些人很奇怪，主管部门给格力派来位书记非要去,11554,2017-08-24,0.09173812592022157
董明珠卸任董事长 为格力耗尽一生图的啥？,88004,2016-11-13,0.980733963312934
有没有人像我一样坚信：今年之内格力股价会超过,103501,2017-06-08,0.9622863867911353
看看44-60的有多少压单[微笑],14887,2017-08-24,0.4649206687927838
格力电器股价上升趋势格局已定，继续看涨！,17668,2017-08-23,0.6697233976918723
难道小米要搞死格力？,10446,2017-08-18,0.4801558850810643
我们要走啦，不想要最后一个铜板了。漂亮五零涨,35619,2017-07-20,0.9210455395185372
中报的喜讯快了，别被挤下车了！,17112,2017-08-07,0.8229690666342631
为什么港资收手了？作为聪明的散资，港资知道半,21795,2017-08-22,0.4113670077052751
董明珠再撒钱：格力为全员发放额外高温补贴 每,223752,2017-08-07,0.0022181111680036336
低市率版块各股需要中报配合，要密切关注西水的,37466,2017-08-03,0.4147905996989978
分析市场主力行为，看格力电器股价走势,15131,2017-08-22,0.9915275700484566
8月22日深股通格力,17276,2017-08-22,0.34137459416594396
手持密钥“银隆钛”  董明珠造车开启狂暴模式,69624,2017-08-19,0.6149280187191514
格力电器明年五月股价25块钱必破！聪明人就不解,23928,2017-08-15,0.9508074567580906
《龙头！龙头！价值投资时代来临》 ——重要的,153252,2017-05-06,0.9834566948152386
晓草4188 是我的副号!不知今好了吗?,50071,2017-07-27,0.978526179597885
格力电器股价走势用数据说话，用技术指标做参考,21507,2017-08-21,0.9958490849380071
格力电器回调快一个月了 现在是逢低布局好时机,33363,2017-08-21,0.8642797376289743
整体市盈率下压-何类股不惧风雨彰显王道[6股],11384,2017-07-29,0.9727952680884173
8月21日深股通,22324,2017-08-21,0.046903844013434726
格力主力近一个月来打压股价，是要散户交出筹码,25788,2017-08-16,0.7019388286243252
8月18日深股通格力,24609,2017-08-18,0.38789885412149516
留着钱35买格力的股友先把钱存银行吧，因为这样,16987,2017-08-07,0.0047813284310223025
有两个事不要与格力扯到一起: 一是银隆上市与否,14928,2017-08-18,0.10918743692224608
格力电器是中国股票A股之王。第一：它是世界名,32638,2017-08-08,0.9961221278898261
这个市场怎么了？抛掉11倍的格力电器，一窝蜂的,23399,2017-08-17,0.20326232069076278
在资本市场不断开放的政策下，格力会不会落入他,18164,2017-08-16,0.9825716910027559
中国男人最大的遗憾是，没能娶到一个貌美如花、,12190,2017-08-19,0.932900266804529
中国股民喜欢大跌卖股票更喜欢卖跌停板000651大,54852,2017-07-21,0.9872350841259642
格力电器董事被深交所公开谴责,28556,2017-08-18,0.10643778777708901
8.3安装了京东买的格力品圆空调，制冷效果极差,25351,2017-08-11,0.00516459797585922
格力电器近期一段时间股价关注要点,21525,2017-08-18,0.9970253139761552
现在卖得欢，以后抢也抢不到,18969,2017-07-22,0.4183699331362115
不得了！格力电器2018年实现250亿利润？,29679,2017-08-10,0.36740795598690745
耶路永远撒冷的贴一不要看二不要回,8138,2017-08-18,0.5212047486559397
国有企业，要想在市场上发挥作用必须改变以往由,9829,2017-08-15,0.9887354907994791
转眼格力已经突破40元。老朋友们，出来冒个泡，,16425,2017-06-26,0.9561273882962069
董明珠背书使珠海银隆上市步伐加快  需警惕关联,62645,2017-08-18,0.6439229740961805
星期五 董小姐上了 天天向上 节目 你们懂的,49438,2017-03-06,0.4488468092489081
格力：读懂这项黑科技，从此告别空调病,12930,2017-08-17,0.9930721620759227
一个一一一一一乙肝一一一一一患者的希望,35764,2016-04-09,0.5910526158577283
银隆做的好事大全，错一点半个月不发言,43088,2016-11-06,0.267607090603861
格力电器今天08-17需要关注的要点,21320,2017-08-17,0.9762844820659704
深交所对格力电器董事徐自发给予公开谴责处分,25876,2017-08-17,0.6066556746072104
8月17日深股通,18807,2017-08-17,0.07562077754365404
格力电器股价三问,27383,2017-08-16,0.6928906520855577
格力电器:关于收到行政监管措施决定书的公告,188861,2017-07-25,0.9035972942142548
今年第6签！感谢格力、感谢上汽！中签收益继续,11905,2017-08-16,0.5350587920376497
格力净利不算最高，但基本面应算最好。在可预见,9380,2017-07-16,0.8663171605938892
吴晓波:“在格力看到了中国制造业的未来”,20098,2017-08-09,0.9990508896109995
8月16日深股通,19222,2017-08-16,0.04247594383333764
感恩格力，今天买了一台格力手机,16315,2017-07-28,0.6459865907577145
喝酒能买来su-27，其实000413起动也是6元多，60,8208,2017-07-30,0.056173548770751425
格力、美的、与皖美玲的空调行业毛利对比,25014,2017-07-27,0.9625545645123514
格力电器右肩底部即将构筑完毕,27163,2017-08-14,0.14576489943284177
实在看不下去了,30284,2017-08-05,0.22867644591932212
人社部：4100亿基本养老金已签委托投资合同 “,4783,2017-07-29,0.5567912837069572
湖南巨景是骗子，骗了我9800元荐股费，买一票套,11205,2017-07-10,0.003918486861692605
难道是强弩之末[亏大了][亏大了][亏大了],106786,2017-06-29,0.002748061987930317
8月15日深股通,14212,2017-08-15,0.06362114770220173
本大仙再次发话，董明珠会害死格力。,10923,2017-08-03,0.13314830928536936
格力独家研报，或许有的亲们已经看过了。,18269,2017-08-14,0.4999670550488148
上星期办公室原来用了7\8年的华宝空调坏了，换,12094,2017-08-14,0.6597743583897852
雷军进入空调业，靠天吃饭的董明珠以后能靠谁？,7442,2017-08-11,0.14779908801206953
格力如果没有董明珠决不会有今天，这样的例子还,20074,2017-07-10,0.14573599331406106
8月14日深股通格力,17807,2017-08-14,0.2589872715016629
珠海银隆150亿进驻洛阳 打造新能源整车生产基地,11147,2017-08-10,0.10187614548663904
与时俱进 赶上新时代,28749,2017-07-15,0.8350569940089961
持股超过两年的举手？,64522,2017-04-21,0.25870884992464604
持有格力运气好，又中一签[大笑][大笑],8423,2017-08-14,0.5443041021467196
3000多只股票里面可能有比格力更好的，但我是没,21505,2017-06-23,0.7311157224048627
对格力电器只适宜中长线价值投资持有，短线波段,20147,2017-08-09,0.9605635214615265
8月11深股通,21384,2017-08-11,0.0764699489815146
终于解套了，抛光，一股不留！,10238,2017-08-09,0.12464145287859085
格力电器财务正在核算空调销售收入！半年报即将,25022,2017-08-13,0.893629417398704
为什么董明珠的智商这么高，而且从来不讲假话，,93137,2017-07-07,0.8427688575497351
2017-08-11星期五格力电器深港通数据,13773,2017-08-11,0.5291859557290564
经历08-11的严峻考验，格力电器明天会更好,17217,2017-08-13,0.9573019267399255
时光若水 价投似金,29331,2017-08-09,0.9444768558141383
南国书香节｜董明珠：最担心企业交给别人的时候,11624,2017-08-12,0.42640607056261914
我相信雷军能做好空调，不相信董敏珠能做好手机,8729,2017-08-09,0.3779687550489256
小米空调已经发布，坐等大嘴开喷。。。,6885,2017-08-10,0.05272958303395281
Q1不负所望，Q2料有惊喜,69241,2017-05-01,0.8290755412801748
8月10日格力,15800,2017-08-10,0.31295240745281006
空调选海信,10713,2017-08-10,0.35946759812063345
雷军：感谢董明珠，不然我不会想到要搞空调的！,14306,2017-08-10,0.12727868952757948
做手机格力还差很多，,4150,2017-07-27,0.33074261612489453
核心内参泄露（603887城地股份）要大涨,8576,2017-08-09,0.9419963826947761
让世界爱上雷军制造的中国空调！,10453,2017-08-09,0.9879587215376608
董小姐又霸气了！格力给全体员工发放高温补贴10,67036,2017-08-07,0.0025851346354159865
美的空调，从从小弟到与大哥叫板，得感谢董明珠,6705,2017-08-03,0.3907350770026331
拉呀！涨停呀。垃圾B[困顿][困顿][困顿],21799,2017-07-11,0.7183129414925151
在对待朱江红的事情上, 董违背了基本的做人原则,3841,2017-08-07,0.7056858457463783
格力遭遇当头棒喝：上汽400公里续航纯电动suv一,12409,2017-08-03,0.9577090684920312
在对待朱江红的事情上,格力管理层违背了基本的,8106,2017-08-07,0.7056858457463783
雷空调、格手机都不是长久之计！,4303,2017-08-09,0.6383684546292568
强烈要求镇江空调售后服务换人,7900,2017-08-06,0.023082944283511653
格力电器近期走势与沪深A股的关联透视,22703,2017-08-08,0.959073780202178
8月9日深股通,17262,2017-08-09,0.05073172767167655
格力电器:关于公司董事短线交易的公告,193162,2017-05-26,0.6491099704926795
董在对待朱江红的事情上,违背了基本的做人原则,15658,2017-08-07,0.6834116087473453
格力美的专利战越演越烈 增量萎缩迫使挤压式增,35806,2017-08-07,0.8864986597347296
这台格力风扇是1998年夏天孩子快要出世了，买格,11140,2017-08-08,0.6451678186143401
8月8日深股通格力,12402,2017-08-08,0.3066474435572837
格力电器这波回调底部已经探明！—兼08-07交易,18768,2017-08-07,0.2845497549655983
雷军比董明珠有优势：董做不好手机，但是雷能做,3315,2017-08-09,0.8688353400247294
格力于.业绩为王半年报营收700亿，纯利l4%计98,21924,2017-08-08,0.14428401481961262
格力只是销售厉害，产品一般，已经没有投资价值,10771,2017-07-06,0.6920592431400647
有一种胜利叫撤退，另外有一种假多头叫持股待涨,8229,2016-12-01,0.8569375741120111
公开公平公正的市场将推动格力股价再创新高,30772,2015-09-18,0.7155630887443176
39的本我割不割[哭],19405,2017-08-07,0.41082762605840095
格力电器牛途中高速服务站中加加油（728开市前,14464,2017-07-28,0.963937061841757
格力的3个目标位！,21810,2016-08-24,0.693263305955166
再谈谈格力电器！,21775,2016-08-01,0.4740539733825334
格力电器开盘前最后一贴！,66929,2016-08-15,0.7554872045761811
手中没有格力电器你睡的着觉吗！请大家关注并打,17396,2017-07-12,0.9838295949681535
8月8号格力深股通 资金净买入,18092,2017-08-08,0.9246841496726756
